,model,1,2,4,8,16,32,64
0,ResNet50,6537.895202636719,5967.223882675171,6851.908206939697,6827.797889709473,6957.316160202026,7018.94474029541,7307.069301605225
1,DenseNet169,10737.784624099731,9593.112707138062,7514.10698890686,7215.713739395142,7280.488014221191,7398.626089096069,7734.639406204224
2,ResNet101V2,15161.648750305176,13830.291748046875,11892.176389694214,11107.308864593506,11149.36089515686,11299.761056900024,11540.860414505005
3,ResNet50V2,8121.945858001709,7039.353132247925,5961.024045944214,5909.631967544556,5874.372720718384,5936.964511871338,6060.0481033325195
4,VGG16,24213.584661483765,22867.738008499146,21967.344999313354,21705.774545669556,21638.9000415802,21651.60632133484,21565.797567367554
