,model,1,2,4,8,16,32,64
0,ResNet50,86102.9760837555,66121.97041511536,82436.24925613403,53625.66637992859,53973.535776138306,54529.451847076416,54897.93062210083
1,DenseNet169,88241.71900749207,80810.71710586548,60408.92481803894,58580.88827133179,54868.75224113464,58563.32969665527,60093.89877319336
2,ResNet101V2,116444.23246383667,116032.01007843018,92186.5758895874,90639.26076889038,86297.69730567932,87975.12459754944,93151.34072303772
3,ResNet50V2,64080.22618293762,58125.78988075256,47470.45922279358,46355.87573051453,45870.26262283325,46764.67156410217,49349.10464286804
4,Xception,133323.58312606812,85171.46825790405,57865.44227600098,58026.81303024292,57481.47630691528,57293.97654533386,56610.5260848999
5,DenseNet169,93831.68292045593,92876.65128707886,63483.344316482544,60896.32344245911,56290.02809524536,58356.35161399841,59979.66408729553
6,DenseNet121,73460.63899993896,68116.40119552612,52027.68516540527,82425.94742774963,82471.70281410217,49618.505001068115,50951.19833946228
7,DenseNet201,115604.10833358765,107064.01681900024,82457.14688301086,77683.14623832703,70231.42504692078,75334.33938026428,76167.33837127686
8,EfficientNetB0,35423.42209815979,30721.31395339966,23176.57971382141,22368.884325027466,22063.265085220337,23431.164979934692,24128.51858139038
9,InceptionV3,90212.30030059814,88690.52577018738,37182.64055252075,41460.620641708374,33202.80718803406,32941.61772727966,32991.352796554565
10,MobileNet,19645.228624343872,17341.50743484497,13414.56389427185,12574.337244033813,12179.704189300537,12587.971925735474,13727.793216705322
11,MobileNetV2,23852.750062942505,19645.060777664185,14594.919443130493,13950.894117355347,13488.75880241394,13987.632274627686,18211.19499206543
12,NASNetMobile,45823.429584503174,41940.157413482666,23334.71655845642,21044.33536529541,19423.457622528076,18896.182775497437,18774.4243144989
