,model,1,2,4,8,16,32,64
0,ResNet50,17831.645488739014,21495.267629623413,12320.323467254639,20595.26300430298,9142.239332199097,10289.187669754028,10288.787603378296
1,DenseNet169,19278.454303741455,14313.692569732666,10363.499402999878,8634.615421295166,10387.020587921143,7873.391389846802,10355.700016021729
2,ResNet101V2,42477.744817733765,25148.457765579224,20573.066473007202,15778.610467910767,20521.66509628296,12086.073398590088,10960.35647392273
3,ResNet50V2,21259.724617004395,21249.00221824646,20527.559518814087,10285.240411758423,10283.030033111572,6706.134557723999,10312.249660491943
4,VGG16,41120.1753616333,28964.516639709473,41079.559326171875,41002.74610519409,20521.175622940063,16918.7114238739,15934.44538116455
5,Xception,41673.24662208557,16283.186197280884,20576.375484466553,20534.48796272278,20523.39005470276,10282.98544883728,8364.311456680298
6,DenseNet169,22990.390062332153,14022.504568099976,10288.155317306519,10306.463956832886,10307.95931816101,10290.712594985962,10291.244506835938
7,DenseNet121,22153.01561355591,11421.495914459229,10306.79178237915,7730.161666870117,10388.258934020996,10294.564008712769,6365.153551101685
8,DenseNet201,23665.24076461792,16714.04480934143,11798.006057739258,20587.268590927124,20539.185285568237,10199.506521224976,10329.412698745728
9,EfficientNetB0,12092.342615127563,11614.9263381958,5169.071197509766,5164.341926574707,5170.305490493774,3035.6860160827637,2995.1398372650146
10,InceptionV3,18328.709363937378,11399.817705154419,10290.084838867188,7166.856527328491,10395.689725875854,10285.865068435669,5195.741176605225
11,MobileNet,5421.583414077759,4276.927947998047,3124.793291091919,5175.954341888428,2322.859764099121,2045.8388328552246,1906.8958759307861
12,MobileNetV2,5482.837677001953,5895.665884017944,5168.279647827148,5168.602466583252,2290.581464767456,2594.44260597229,1943.4583187103271
13,NASNetMobile,13847.703456878662,9065.402030944824,5240.500688552856,5177.932262420654,5174.704313278198,5175.682306289673,2644.8724269866943
14,ResNet101,42661.333322525024,27958.148956298828,41030.09104728699,20530.514240264893,20535.947799682617,20523.405075073242,20533.07342529297
