,model,backend,architecture,number_of_operations,number_of_unmapped_operations,total_parameters,trainable_parameters,non_trainable_parameters,running_time,power_draw,validation_size,batch_size,accuracy_k1,accuracy_k3,accuracy_k5,accuracy_k10,approx_USB_power_draw,fsize,task,dataset,environment
81,NASNetMobile,CPU,RasPi,,,5326716.0,5289978.0,36738.0,0.147574846248783,23593.951327537972,12000.0,24.0,0.7032917230666667,0.8431709245833333,0.8833361428833334,0.9210455887833332,23593.951327537972,23.037831999999998,infer,imagenet,RasPi CPU
84,NASNetMobile,NCS,RasPi,,,5326716.0,5289978.0,36738.0,0.1017354070186615,9560.81397350065,12000.0,1.0,0.12573148148,0.21861772488,0.27613359788,0.36391957671999997,9561.271782832233,23.037831999999998,infer,imagenet,RasPi NCS
87,NASNetMobile,TPU,RasPi,,,5326716.0,5289978.0,36738.0,0.014112412240770129,791.641759633056,12000.0,1.0,0.6495833333333333,0.7976666666666666,0.84625,0.8903333333333333,791.7052654881394,23.037831999999998,infer,imagenet,RasPi TPU
90,ResNet101,CPU,RasPi,,,44707176.0,44601832.0,105344.0,0.43074772429466246,70960.70351926923,12000.0,24.0,0.7233561507999999,0.8622172619166667,0.8993604497500001,0.9328935185333332,70960.70351926923,179.68035999999998,infer,imagenet,RasPi CPU
93,ResNet101,NCS,RasPi,,,44707176.0,44601832.0,105344.0,0.1112664657910665,10212.610624636716,12000.0,1.0,0.7229195767200001,0.86149285716,0.8987568783200001,0.93131984128,10213.111323732775,179.68035999999998,infer,imagenet,RasPi NCS
96,ResNet101,TPU,RasPi,,,44707176.0,44601832.0,105344.0,0.08421524480978648,4724.452325170944,12000.0,1.0,0.7213333333333334,0.8581666666666666,0.8921666666666667,0.9204166666666667,4724.831293772589,179.68035999999998,infer,imagenet,RasPi TPU
99,ResNet101V2,CPU,RasPi,,,44675560.0,44577896.0,97664.0,0.40130674840013186,66357.04403202263,12000.0,24.0,0.6765026455166666,0.8317142857166666,0.8747919973333333,0.9133045634833333,66357.04403202263,,infer,imagenet,RasPi CPU
102,ResNet101V2,NCS,RasPi,,,44675560.0,44577896.0,97664.0,0.112778243347009,10280.066606216258,12000.0,1.0,0.6772994708800001,0.8293621693200001,0.86953359788,0.9033587301600001,10280.57410831132,,infer,imagenet,RasPi NCS
105,ResNet101V2,TPU,RasPi,,,44675560.0,44577896.0,97664.0,0.08723492342895933,4860.55144839006,12000.0,1.0,0.668,0.8097499999999999,0.84625,0.8755000000000001,4860.944005545491,,infer,imagenet,RasPi TPU
108,ResNet152,CPU,RasPi,,,60419944.0,60268520.0,151424.0,1.1946783249775568,188756.69508057222,12000.0,16.0,0.728587963,0.8662367725,0.9031911376,0.9357638889,188756.69508057222,242.954816,infer,imagenet,RasPi CPU
